전출지,전입지,계
서울 용산구,경기 부천시,118
서울 용산구,경기 광명시,115
서울 용산구,경기 평택시,99
서울 용산구,경기 동두천시,16
서울 용산구,경기 안산시,68
서울 용산구,경기 고양시,380
서울 용산구,경기 과천시,29
서울 용산구,경기 구리시,38
서울 용산구,경기 남양주시,151
서울 용산구,경기 오산시,23
서울 용산구,경기 시흥시,53
서울 용산구,경기 군포시,42
서울 용산구,경기 의왕시,63
서울 용산구,경기 하남시,75
서울 용산구,경기 용인시,258
서울 용산구,경기 파주시,150
서울 용산구,경기 이천시,49
서울 용산구,경기 안성시,33
서울 용산구,경기 김포시,104
서울 용산구,경기 화성시,153
서울 용산구,경기 광주시,60
서울 용산구,경기 양주시,52
서울 용산구,경기 포천시,30
서울 용산구,경기 여주시,18
서울 용산구,경기 연천군,6
서울 용산구,경기 가평군,19
서울 용산구,경기 양평군,40
서울 용산구,충북,174
서울 용산구,충북 청주시,85
서울 용산구,충북 충주시,29
서울 용산구,충북 제천시,17
서울 용산구,충북 보은군,4
서울 용산구,충북 옥천군,3
서울 용산구,충북 영동군,7
서울 용산구,충북 증평군,4
서울 용산구,충북 진천군,8
서울 용산구,충북 괴산군,0
서울 용산구,충북 음성군,16
서울 용산구,충북 단양군,1
서울 용산구,충남,227
서울 용산구,충남 천안시,76
서울 용산구,충남 공주시,6
서울 용산구,충남 보령시,6
서울 용산구,충남 아산시,37
서울 용산구,충남 서산시,15
서울 용산구,충남 논산시,9
서울 용산구,충남 계룡시,14
서울 용산구,충남 당진시,25
서울 용산구,충남 금산군,1
서울 용산구,충남 부여군,7
서울 용산구,충남 서천군,0
서울 용산구,충남 청양군,2
서울 용산구,충남 홍성군,13
서울 용산구,충남 예산군,8
서울 용산구,충남 태안군,8
서울 용산구,전남,95
서울 용산구,전남 목포시,10
서울 용산구,전남 여수시,9
서울 용산구,전남 순천시,6
서울 용산구,전남 나주시,8
서울 용산구,전남 광양시,9
서울 용산구,전남 담양군,2
서울 용산구,전남 곡성군,3
서울 용산구,전남 구례군,0
서울 용산구,전남 고흥군,9
서울 용산구,전남 보성군,6
서울 용산구,전남 화순군,1
서울 용산구,전남 장흥군,1
서울 용산구,전남 강진군,0
서울 용산구,전남 해남군,1
서울 용산구,전남 영암군,2
서울 용산구,전남 무안군,10
서울 용산구,전남 함평군,2
서울 용산구,전남 영광군,6
서울 용산구,전남 장성군,6
서울 용산구,전남 완도군,3
서울 용산구,전남 진도군,1
서울 용산구,전남 신안군,0
서울 용산구,경북,153
서울 용산구,경북 포항시,49
서울 용산구,경북 경주시,19
서울 용산구,경북 김천시,10
서울 용산구,경북 안동시,7
서울 용산구,경북 구미시,13
서울 용산구,경북 영주시,4
서울 용산구,경북 영천시,6
서울 용산구,경북 상주시,4
서울 용산구,경북 문경시,4
서울 용산구,경북 경산시,11
서울 용산구,경북 의성군,1
서울 용산구,경북 청송군,1
서울 용산구,경북 영양군,3
서울 용산구,경북 영덕군,6
서울 용산구,경북 청도군,2
서울 용산구,경북 고령군,0
서울 용산구,경북 성주군,2
서울 용산구,경북 칠곡군,7
서울 용산구,경북 예천군,3
서울 용산구,경북 봉화군,0
서울 용산구,경북 울진군,1
서울 용산구,경북 울릉군,0
서울 용산구,경남,152
