연도,지역,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2013,제주,396.0,263.0,384.0,463.0,464.0,492.0,362.0,1275.0,224.0,1034.0,413.0,1261.0,7031.0,586.0
2013,충남,1873.0,2052.0,1026.0,2186.0,1263.0,1494.0,2513.0,3857.0,2449.0,7001.0,647.0,2257.0,28618.0,2385.0
2013,충북,223.0,853.0,2002.0,984.0,811.0,2074.0,583.0,616.0,1621.0,3069.0,1922.0,2163.0,16921.0,1410.0
2014,강원,124.0,852.0,1290.0,1017.0,1790.0,2305.0,1185.0,858.0,1860.0,488.0,1772.0,367.0,13908.0,1159.0
2014,경기,4036.0,8769.0,5225.0,18311.0,10178.0,7307.0,8361.0,8368.0,9419.0,18241.0,16142.0,21350.0,135707.0,11309.0
2014,경남,2447.0,1578.0,3577.0,3407.0,6230.0,1203.0,3722.0,5909.0,3984.0,8968.0,4101.0,6842.0,51968.0,4331.0
2014,경북,1748.0,1885.0,3055.0,2634.0,1231.0,4635.0,6126.0,1079.0,4324.0,4350.0,3233.0,4510.0,38810.0,3234.0
2014,광주,30.0,912.0,2099.0,662.0,1550.0,828.0,1386.0,1029.0,1922.0,1665.0,1490.0,1143.0,14716.0,1226.0
2014,대구,1234.0,5164.0,3434.0,1054.0,1087.0,6514.0,560.0,1791.0,3414.0,356.0,3206.0,4404.0,32218.0,2685.0
2014,대전,266.0,75.0,304.0,340.0,1372.0,1595.0,89.0,201.0,1273.0,355.0,239.0,1090.0,7199.0,600.0
2014,부산,2433.0,3728.0,2922.0,1544.0,1036.0,2254.0,1243.0,1442.0,2072.0,4603.0,5982.0,3120.0,32379.0,2698.0
2014,서울,2615.0,4020.0,4952.0,5736.0,4907.0,7223.0,3735.0,8135.0,4975.0,7694.0,7419.0,5531.0,66942.0,5578.0
2014,세종,415.0,233.0,174.0,989.0,316.0,4241.0,128.0,716.0,1733.0,3302.0,4146.0,768.0,17161.0,1430.0
2014,울산,107.0,431.0,257.0,329.0,234.0,270.0,362.0,166.0,546.0,3357.0,1528.0,1140.0,8727.0,727.0
2014,인천,620.0,1124.0,1455.0,2870.0,710.0,832.0,776.0,708.0,945.0,859.0,923.0,809.0,12631.0,1053.0
2014,전남,1151.0,629.0,3411.0,4156.0,963.0,2804.0,728.0,466.0,1559.0,1146.0,772.0,1780.0,19565.0,1630.0
2014,전북,1483.0,742.0,564.0,2923.0,1367.0,574.0,1750.0,659.0,903.0,507.0,930.0,649.0,13051.0,1088.0
2014,제주,665.0,411.0,578.0,554.0,386.0,1049.0,1844.0,602.0,1203.0,844.0,1375.0,658.0,10169.0,847.0
2014,충남,470.0,868.0,2348.0,2288.0,3289.0,4640.0,2007.0,665.0,5236.0,2653.0,4878.0,1139.0,30481.0,2540.0
2014,충북,890.0,1708.0,1204.0,3218.0,1363.0,954.0,1130.0,1681.0,1178.0,3019.0,392.0,1521.0,18258.0,1522.0
2015,강원,420.0,692.0,734.0,828.0,1332.0,2991.0,4217.0,463.0,479.0,4372.0,1453.0,2812.0,20793.0,1733.0
2015,경기,6539.0,11591.0,20375.0,29261.0,22443.0,21052.0,20529.0,27060.0,15339.0,36185.0,34929.0,25759.0,271062.0,22588.0
2015,경남,1704.0,1455.0,7202.0,3671.0,3560.0,3783.0,4351.0,4194.0,7795.0,3337.0,1534.0,5474.0,48060.0,4005.0
2015,경북,2762.0,1405.0,3929.0,2668.0,5280.0,3748.0,2758.0,4224.0,3019.0,4373.0,5427.0,6011.0,45604.0,3800.0
2015,광주,305.0,156.0,1122.0,945.0,697.0,559.0,1430.0,1713.0,241.0,826.0,750.0,1709.0,10453.0,871.0
